T,TM,Tm,H,PP,VV,V,VM,PM10
21.1,30.3,13,39,0,4.5,5.7,11.1,134.5612308
21.1,30.3,13,39,0,4.5,5.7,11.1,134.5612308
22.4,30,14,46,0,4.5,11.1,14.8,134.5612308
22.4,30,14,46,0,4.5,11.1,14.8,134.5612308
23.2,33,13,39,0,4.3,4.1,13,134.5612308
23.2,33,13,39,0,4.3,4.1,13,134.5612308
24.8,34,14,43,0,4,4.6,14.8,134.5612308
24.8,34,14,43,0,4,4.6,14.8,134.5612308
25.8,35,17,55,0,4.2,5,11.1,134.5612308
25.8,35,17,55,0,4.2,5,11.1,134.5612308
25.3,34,18,56,0,4,3.9,14.8,134.5612308
25.3,34,18,56,0,4,3.9,14.8,134.5612308
26,36,18,49,0,4,3.9,9.4,134.5612308
26,36,18,49,0,4,3.9,9.4,134.5612308
26.2,37,17,44,0,4.2,3,9.4,134.5612308
26.2,37,17,44,0,4.2,3,9.4,134.5612308
22.9,30,18,42,0,4.7,8.9,18.3,134.5612308
22.9,30,18,42,0,4.7,8.9,18.3,134.5612308
20.8,29,13,31,0,4.7,6.5,18.3,134.5612308
20.8,29,13,31,0,4.7,6.5,18.3,134.5612308
21.8,31,11.6,32,0,4.2,5,11.1,134.5612308
21.8,31,11.6,32,0,4.2,5,11.1,134.5612308
19.9,25.1,15,78,0,3.9,7.2,18.3,134.5612308
19.9,25.1,15,78,0,3.9,7.2,18.3,134.5612308
19.6,26,15,65,0,3.9,5.7,16.5,134.5612308
19.6,26,15,65,0,3.9,5.7,16.5,134.5612308
21.4,28,14,49,0,4.2,5.2,11.1,134.5612308
21.4,28,14,49,0,4.2,5.2,11.1,134.5612308
27.3,35,16.4,37,0,4.3,6.9,22.2,134.5612308
27.3,35,16.4,37,0,4.3,6.9,22.2,134.5612308
25.8,34,17,36,0,4.5,5.9,13,134.5612308
25.8,34,17,36,0,4.5,5.9,13,134.5612308
24,33,17,28,0,4.3,10.7,22.2,134.5612308
24,33,17,28,0,4.3,10.7,22.2,134.5612308
26.2,32,21,52,0.51,4.2,10,18.3,134.5612308
26.2,32,21,52,0.51,4.2,10,18.3,134.5612308
25.2,33,20.6,61,0,4,5.4,14.8,134.5612308
25.2,33,20.6,61,0,4,5.4,14.8,134.5612308
26.3,32,20.5,49,5.08,4.7,11.1,22.2,134.5612308
26.3,32,20.5,49,5.08,4.7,11.1,22.2,134.5612308
27.7,37,18.4,28,0,4.7,5.9,11.1,134.5612308
27.7,37,18.4,28,0,4.7,5.9,11.1,134.5612308
29.8,39,18.5,29,0,4.7,5,14.8,134.5612308
29.8,39,18.5,29,0,4.7,5,14.8,134.5612308
30.2,40,20,32,0,4.7,3.9,11.1,134.5612308
30.2,40,20,32,0,4.7,3.9,11.1,134.5612308
32.8,43,22.3,31,0,4.3,4.4,7.6,134.5612308
32.8,43,22.3,31,0,4.3,4.4,7.6,134.5612308
33.7,43,24.4,32,0,4,3.1,11.1,134.5612308
33.7,43,24.4,32,0,4,3.1,11.1,134.5612308
34,42,25.9,44,0,3.4,6.1,14.8,134.5612308
34,42,25.9,44,0,3.4,6.1,14.8,134.5612308
29.9,38,21,30,0,4.7,6.7,14.8,134.5612308
29.9,38,21,30,0,4.7,6.7,14.8,134.5612308
30.8,39,22.7,33,0,4.3,9.4,20.6,134.5612308
30.8,39,22.7,33,0,4.3,9.4,20.6,134.5612308
31.3,39,23,40,0,4.7,12.8,20.6,134.5612308
31.3,39,23,40,0,4.7,12.8,20.6,134.5612308
30.8,39,24,42,0,4.3,14.6,27.8,134.5612308
30.8,39,24,42,0,4.3,14.6,27.8,134.5612308
31.3,38,24,44,0,3.9,7.6,14.8,134.5612308
31.3,38,24,44,0,3.9,7.6,14.8,134.5612308
31.2,39,24.1,43,0,4,4.6,11.1,134.5612308
31.2,39,24.1,43,0,4,4.6,11.1,134.5612308
33.1,41,26,31,0,4.7,5.4,14.8,134.5612308
33.1,41,26,31,0,4.7,5.4,14.8,134.5612308
27.4,34,20,57,0,4.2,6.1,16.5,134.5612308
27.4,34,20,57,0,4.2,6.1,16.5,134.5612308
29.5,36,22.8,51,0,4.3,5.2,11.1,134.5612308
29.5,36,22.8,51,0,4.3,5.2,11.1,134.5612308
30.3,37,24,48,0,4.5,4.4,14.8,134.5612308
30.3,37,24,48,0,4.5,4.4,14.8,134.5612308
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,134.5612308
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,134.5612308
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,134.5612308
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,134.5612308
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,134.5612308
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,134.5612308
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,134.5612308
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,134.5612308
32.6,41,24.9,42.5,0,4.4,8.7,17.4,134.5612308
32.6,41,24.9,42.5,0,4.4,8.7,17.4,134.5612308
32.4,41,25.1,41,0,4.5,8.5,18.3,134.5612308
32.4,41,25.1,41,0,4.5,8.5,18.3,134.5612308
32.8,41,24.7,44,0,4.3,8.9,16.5,134.5612308
32.8,41,24.7,44,0,4.3,8.9,16.5,134.5612308
34,43,24.7,43,0,4.3,9.1,18.3,134.5612308
34,43,24.7,43,0,4.3,9.1,18.3,134.5612308
34.2,43.5,25.85,43,0,4.15,9.25,19.45,134.5612308
34.2,43.5,25.85,43,0,4.15,9.25,19.45,134.5612308
34.4,44,27,43,0,4,9.4,20.6,134.5612308
34.4,44,27,43,0,4,9.4,20.6,134.5612308
35.7,45,26.5,29,0,4.5,5.7,13,134.5612308
35.7,45,26.5,29,0,4.5,5.7,13,134.5612308
35.5,45,24.1,26,0,4.7,6.7,14.8,134.5612308
35.5,45,24.1,26,0,4.7,6.7,14.8,134.5612308
35.6,45,27,27,0,4.7,9.6,14.8,134.5612308
35.6,45,27,27,0,4.7,9.6,14.8,134.5612308
34.5,43,27,35,0,4.7,9.3,18.3,134.5612308
34.5,43,27,35,0,4.7,9.3,18.3,134.5612308
37.3,44,27.2,24,0,4.7,10.2,18.3,134.5612308
37.3,44,27.2,24,0,4.7,10.2,18.3,134.5612308
32.9,43,27.4,49,0,3.7,7.4,16.5,134.5612308
32.9,43,27.4,49,0,3.7,7.4,16.5,134.5612308
34.4,40,25.2,48,7.11,3.9,6.1,18.3,134.5612308
34.4,40,25.2,48,7.11,3.9,6.1,18.3,134.5612308
36.5,45,27,33,0,4.3,5.9,14.8,134.5612308
36.5,45,27,33,0,4.3,5.9,14.8,134.5612308
36.3,46,28.1,42,0,4.7,15,24.1,134.5612308
36.3,46,28.1,42,0,4.7,15,24.1,134.5612308
34.9,44,28.4,51,0,4.7,13.3,22.2,134.5612308
34.9,44,28.4,51,0,4.7,13.3,22.2,134.5612308
36.1,46,29,46,0,4.5,11.9,18.3,134.5612308
36.1,46,29,46,0,4.5,11.9,18.3,134.5612308
35.9,45,29,47,0,4.7,15,22.2,134.5612308
35.9,45,29,47,0,4.7,15,22.2,134.5612308
35.2,45,28.4,50,0,4.8,15.6,24.1,134.5612308
35.2,45,28.4,50,0,4.8,15.6,24.1,134.5612308
35.6,45,28.7,50,0,4.7,12.4,22.2,134.5612308
35.6,45,28.7,50,0,4.7,12.4,22.2,134.5612308
36.3,46,28.7,38,0,4.5,12,18.3,134.5612308
36.3,46,28.7,38,0,4.5,12,18.3,134.5612308
34.7,43,29,49,0,4.5,15,27.8,134.5612308
34.7,43,29,49,0,4.5,15,27.8,134.5612308
32.8,40.4,27,56,1.015,4.2,13,29.4,134.5612308
32.8,40.4,27,56,1.015,4.2,13,29.4,134.5612308
33.6,41,26.5,48,2.03,3.5,12,31.7,134.5612308
33.6,41,26.5,48,2.03,3.5,12,31.7,134.5612308
37.6,46,30.5,33,0,4.2,11.7,50,134.5612308
37.6,46,30.5,33,0,4.2,11.7,50,134.5612308
33.4,38,30,57,0,4,10.6,22.2,134.5612308
33.4,38,30,57,0,4,10.6,22.2,134.5612308
32.3,40,29,61,0,4.5,12.2,24.1,134.5612308
32.3,40,29,61,0,4.5,12.2,24.1,134.5612308
32.4,39.3,28,64,0,4.3,13.5,29.4,134.5612308
32.4,39.3,28,64,0,4.3,13.5,29.4,134.5612308
32.1,40,27.2,64,0,4.2,14.3,27.8,134.5612308
32.1,40,27.2,64,0,4.2,14.3,27.8,134.5612308
32.3,40,27.6,62,0.25,4.2,12,24.1,134.5612308
32.3,40,27.6,62,0.25,4.2,12,24.1,134.5612308
32.7,37,28,63,0,4,8.1,14.8,134.5612308
32.7,37,28,63,0,4,8.1,14.8,134.5612308
32.8,39,27.2,60,0,4.3,10,18.3,134.5612308
32.8,39,27.2,60,0,4.3,10,18.3,134.5612308
33.4,39,27.7,61,0,4.7,11.3,18.3,134.5612308
33.4,39,27.7,61,0,4.7,11.3,18.3,134.5612308
30.1,35,25.3,78,130.05,3.7,14.8,22.2,134.5612308
30.1,35,25.3,78,130.05,3.7,14.8,22.2,134.5612308
31.2,36.5,27.1,73,0,3.5,17.2,25.9,134.5612308
31.2,36.5,27.1,73,0,3.5,17.2,25.9,134.5612308
31.4,36.8,26.9,70,0,3.7,15.6,29.4,134.5612308
31.4,36.8,26.9,70,0,3.7,15.6,29.4,134.5612308
31.8,37.4,27.5,63,0,4.3,13.9,27.8,134.5612308
31.8,37.4,27.5,63,0,4.3,13.9,27.8,134.5612308
32.1,38,27.7,61,0,4.7,16.9,24.1,134.5612308
32.1,38,27.7,61,0,4.7,16.9,24.1,134.5612308
31.8,38,27.5,63,0,4.7,15.4,25.9,134.5612308
31.8,38,27.5,63,0,4.7,15.4,25.9,134.5612308
30.9,36.4,28,66,0,4.3,14.1,24.1,134.5612308
30.9,36.4,28,66,0,4.3,14.1,24.1,134.5612308
31,35,28,68,2.03,4.3,11.9,18.3,134.5612308
31,35,28,68,2.03,4.3,11.9,18.3,134.5612308
32.2,37,27.7,59,0,4.7,16.5,22.2,134.5612308
32.2,37,27.7,59,0,4.7,16.5,22.2,134.5612308
33.6,38,28.8,58,0,4.5,11.5,16.5,134.5612308
33.6,38,28.8,58,0,4.5,11.5,16.5,134.5612308
33.3,38,29,57,0,4.7,12.8,20.6,134.5612308
33.3,38,29,57,0,4.7,12.8,20.6,134.5612308
32.4,37.9,28,60,0,4.5,15.9,25.9,134.5612308
32.4,37.9,28,60,0,4.5,15.9,25.9,134.5612308
31.5,34,28.8,63,0,4.5,13.3,22.2,134.5612308
31.5,34,28.8,63,0,4.5,13.3,22.2,134.5612308
30.4,33,28,69,0,4.2,10,18.3,134.5612308
30.4,33,28,69,0,4.2,10,18.3,134.5612308
29.6,35.4,27,79,6.1,3.5,5,13,134.5612308
29.6,35.4,27,79,6.1,3.5,5,13,134.5612308
28.4,31.6,26,81,7.87,3.4,12.8,22.2,134.5612308
28.4,31.6,26,81,7.87,3.4,12.8,22.2,134.5612308
25.9,29,24,92,23.11,2.3,13.9,25.9,134.5612308
25.9,29,24,92,23.11,2.3,13.9,25.9,134.5612308
24.6,27,23,95,71.88,2.4,15.7,27.8,134.5612308
24.6,27,23,95,71.88,2.4,15.7,27.8,134.5612308
28.6,33,25.8,75,0.25,4.7,14.3,22.2,134.5612308
28.6,33,25.8,75,0.25,4.7,14.3,22.2,134.5612308
29.3,32.3,26.2,73,0,4.7,14.3,24.1,134.5612308
29.3,32.3,26.2,73,0,4.7,14.3,24.1,134.5612308
28.8,32.2,26.3,75,0,4.3,12.2,24.1,134.5612308
28.8,32.2,26.3,75,0,4.3,12.2,24.1,134.5612308
29.8,34,25.8,69,0,4.5,12.4,20.6,134.5612308
29.8,34,25.8,69,0,4.5,12.4,20.6,134.5612308
30.3,34.6,26.5,70,0,4,5.6,7.6,134.5612308
30.3,34.6,26.5,70,0,4,5.6,7.6,134.5612308
30.8,35,26.5,70,0,3.9,7.8,14.8,134.5612308
30.8,35,26.5,70,0,3.9,7.8,14.8,134.5612308
30.4,35,27,72,0,4.2,9.3,14.8,134.5612308
30.4,35,27,72,0,4.2,9.3,14.8,134.5612308
27.4,30.1,25.6,86,1.02,3.7,5.4,13,134.5612308
27.4,30.1,25.6,86,1.02,3.7,5.4,13,134.5612308
28.3,33,25.5,83,0,3.4,5.2,11.1,134.5612308
28.3,33,25.5,83,0,3.4,5.2,11.1,134.5612308
29.6,35.4,25.5,80,4.06,4,9.6,18.3,134.5612308
29.6,35.4,25.5,80,4.06,4,9.6,18.3,134.5612308
30.2,35,25.4,70,9.91,4.3,11.3,20.6,134.5612308
30.2,35,25.4,70,9.91,4.3,11.3,20.6,134.5612308
29.4,33.4,25.7,73,0,4.5,14.6,20.6,134.5612308
29.4,33.4,25.7,73,0,4.5,14.6,20.6,134.5612308
30.7,36,26,65,0,4.5,14.8,22.2,134.5612308
30.7,36,26,65,0,4.5,14.8,22.2,134.5612308
30.6,35,26.2,70,0,4.7,10,16.5,134.5612308
30.6,35,26.2,70,0,4.7,10,16.5,134.5612308
31.1,35,26.6,68,0,4.5,9.1,16.5,134.5612308
31.1,35,26.6,68,0,4.5,9.1,16.5,134.5612308
31.3,35.9,26,67,0,4.7,9.4,18.3,134.5612308
31.3,35.9,26,67,0,4.7,9.4,18.3,134.5612308
30.4,35,27,71,0,4.5,9.1,16.5,134.5612308
30.4,35,27,71,0,4.5,9.1,16.5,134.5612308
30.7,36,26.4,65,0,4.3,11.1,22.2,134.5612308
30.7,36,26.4,65,0,4.3,11.1,22.2,134.5612308
30.3,35,26,63,0,4.3,8.7,14.8,134.5612308
30.3,35,26,63,0,4.3,8.7,14.8,134.5612308
30.3,35,24.4,61,0,4.3,7.2,13,134.5612308
30.3,35,24.4,61,0,4.3,7.2,13,134.5612308
30.7,37,25.6,61,0,4.7,8.9,14.8,134.5612308
30.7,37,25.6,61,0,4.7,8.9,14.8,134.5612308
30.3,36,27,66,0,4.7,5.9,18.3,134.5612308
30.3,36,27,66,0,4.7,5.9,18.3,134.5612308
31,35.5,26,64,0,4.7,4.4,11.1,134.5612308
31,35.5,26,64,0,4.7,4.4,11.1,134.5612308
31.6,38,26.4,63,0,4.5,11.3,18.3,134.5612308
31.6,38,26.4,63,0,4.5,11.3,18.3,134.5612308
32.2,38,26.5,64,0,4.5,10.9,16.5,134.5612308
32.2,38,26.5,64,0,4.5,10.9,16.5,134.5612308
31.9,37,26.4,62,0,4.5,11.1,18.3,134.5612308
31.9,37,26.4,62,0,4.5,11.1,18.3,134.5612308
27.4,32,24,86,57.91,3.9,11.3,20.6,134.5612308
27.4,32,24,86,57.91,3.9,11.3,20.6,134.5612308
25,26,23,95,2.03,2.3,8.3,13,134.5612308
25,26,23,95,2.03,2.3,8.3,13,134.5612308
27,31,24.5,91,8.89,2.9,11.7,16.5,134.5612308
27,31,24.5,91,8.89,2.9,11.7,16.5,134.5612308
28.8,34,24,66,0,4.8,9.3,14.8,134.5612308
28.8,34,24,66,0,4.8,9.3,14.8,134.5612308
28.7,34.1,23.5,68,0,5,9.3,16.5,134.5612308
28.7,34.1,23.5,68,0,5,9.3,16.5,134.5612308
29.4,34.3,24.4,67,0,4.8,5.7,13,134.5612308
29.4,34.3,24.4,67,0,4.8,5.7,13,134.5612308
30.7,38,23,52,0,4.3,4.6,11.1,134.5612308
30.7,38,23,52,0,4.3,4.6,11.1,134.5612308
31.1,38,23,54,0,4.3,5.4,11.1,134.5612308
31.1,38,23,54,0,4.3,5.4,11.1,134.5612308
31.8,39,25,63,0,3.9,7.2,16.5,134.5612308
31.8,39,25,63,0,3.9,7.2,16.5,134.5612308
32.3,40,24,48,0,4.7,5.4,14.8,134.5612308
32.3,40,24,48,0,4.7,5.4,14.8,134.5612308
31.7,40,24,47,0,4.3,3.7,14.8,134.5612308
31.7,40,24,47,0,4.3,3.7,14.8,134.5612308
32.3,40,23,46,0,4.3,5.4,13,134.5612308
32.3,40,23,46,0,4.3,5.4,13,134.5612308
31.9,39,24.5,53,0,4.2,3.9,9.4,134.5612308
31.9,39,24.5,53,0,4.2,3.9,9.4,134.5612308
30.9,40,24,52,0,4.5,3.5,11.1,134.5612308
30.9,40,24,52,0,4.5,3.5,11.1,134.5612308
30.5,40,24,50,0,4.3,3.9,11.1,134.5612308
30.5,40,24,50,0,4.3,3.9,11.1,134.5612308
31.3,40,23,49,0,4.2,1.3,5.4,134.5612308
31.3,40,23,49,0,4.2,1.3,5.4,134.5612308
31.1,39,22.3,51,0,4.5,3.5,13,134.5612308
31.1,39,22.3,51,0,4.5,3.5,13,134.5612308
30.3,39,23.4,55,0,4.2,1.9,7.6,134.5612308
30.3,39,23.4,55,0,4.2,1.9,7.6,134.5612308
27.4,38,21,53,0,4.2,2.2,9.4,134.5612308
27.4,38,21,53,0,4.2,2.2,9.4,134.5612308
27.7,38,20.9,55,0,4,2.2,11.1,134.5612308
27.7,38,20.9,55,0,4,2.2,11.1,134.5612308
28.6,37,20,44,0,4.5,6.3,22.2,134.5612308
28.6,37,20,44,0,4.5,6.3,22.2,134.5612308
24.9,32,19.8,50,0,4.8,10.9,16.5,134.5612308
24.9,32,19.8,50,0,4.8,10.9,16.5,134.5612308
26.7,34,19.9,55,0,4.3,6.5,18.3,134.5612308
26.7,34,19.9,55,0,4.3,6.5,18.3,134.5612308
27.9,36,21,52,0,4.5,5,13,134.5612308
27.9,36,21,52,0,4.5,5,13,134.5612308
28.2,36,21,50,0,4.5,3.5,11.1,134.5612308
28.2,36,21,50,0,4.5,3.5,11.1,134.5612308
27.1,36,19.3,44,0,4.3,4.4,14.8,134.5612308
27.1,36,19.3,44,0,4.3,4.4,14.8,134.5612308
25.4,35,17,44,0,3.9,3.1,9.4,134.5612308
25.4,35,17,44,0,3.9,3.1,9.4,134.5612308
26.7,36,11.5,49,0,4,2,7.6,134.5612308
26.7,36,11.5,49,0,4,2,7.6,134.5612308
27.5,38,19.8,49,0,4.3,2.4,9.4,134.5612308
27.5,38,19.8,49,0,4.3,2.4,9.4,134.5612308
27.5,37,17,42,0,4.3,3.7,9.4,134.5612308
27.5,37,17,42,0,4.3,3.7,9.4,134.5612308
26.7,36,16.8,50,0,4.3,4.1,9.4,134.5612308
26.7,36,16.8,50,0,4.3,4.1,9.4,134.5612308
23.8,33.3,18,42,0,4.3,7.8,14.8,134.5612308
23.8,33.3,18,42,0,4.3,7.8,14.8,134.5612308
24.8,34,17.8,39,0,4.5,7,13,134.5612308
24.8,34,17.8,39,0,4.5,7,13,134.5612308
26.7,34,18.9,38,0,4.5,7.4,14.8,134.5612308
26.7,34,18.9,38,0,4.5,7.4,14.8,134.5612308
27.6,34,21,47,0,3.5,5.6,14.8,134.5612308
27.6,34,21,47,0,3.5,5.6,14.8,134.5612308
25.8,34,17,40,0,4,7,14.8,134.5612308
25.8,34,17,40,0,4,7,14.8,134.5612308
20.5,29,13,35,0,4.5,5,14.8,134.5612308
20.5,29,13,35,0,4.5,5,14.8,134.5612308
24,34,16,48,0,4.2,4.6,13,134.5612308
24,34,16,48,0,4.2,4.6,13,134.5612308
21.8,32,15,42,0,4.2,6.3,14.8,134.5612308
21.8,32,15,42,0,4.2,6.3,14.8,134.5612308
21.5,31,13,41,0,4.3,6.3,18.3,134.5612308
21.5,31,13,41,0,4.3,6.3,18.3,134.5612308
23.4,35,14,46,0,4.3,4.1,11.1,134.5612308
23.4,35,14,46,0,4.3,4.1,11.1,134.5612308
24,34,16,41,0,4.3,4.4,11.1,134.5612308
24,34,16,41,0,4.3,4.4,11.1,134.5612308
25.3,34,15,45,0,4.3,3,11.1,134.5612308
25.3,34,15,45,0,4.3,3,11.1,134.5612308
17.4,27,10,41,0,4.7,7.4,14.8,134.5612308
17.4,27,10,41,0,4.7,7.4,14.8,134.5612308
16.9,26.4,10,40,0,4.2,10.7,22.2,134.5612308
16.9,26.4,10,40,0,4.2,10.7,22.2,134.5612308
17.4,26.5,11,36,0,4.5,9.4,22.2,134.5612308
17.4,26.5,11,36,0,4.5,9.4,22.2,134.5612308
16.9,28,11,48,0,4.3,5.7,12.1,134.5612308
16.9,28,11,48,0,4.3,5.7,12.1,134.5612308
18.3,28,8,39,0,4.2,5,9.4,134.5612308
18.3,28,8,39,0,4.2,5,9.4,134.5612308
18.2,27,10.7,44,0,4.3,8.1,14.8,134.5612308
18.2,27,10.7,44,0,4.3,8.1,14.8,134.5612308
17.9,25,10.5,39,0,4.2,10.9,20.6,134.5612308
17.9,25,10.5,39,0,4.2,10.9,20.6,134.5612308
18.4,28.2,11,37,0,4.5,7.8,16.5,134.5612308
18.4,28.2,11,37,0,4.5,7.8,16.5,134.5612308
20.8,30,11.9,37,0,4.5,5.2,13,134.5612308
20.8,30,11.9,37,0,4.5,5.2,13,134.5612308
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,134.5612308
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,134.5612308
22.4,32,14,45,0,4.2,4.6,13,134.5612308
22.4,32,14,45,0,4.2,4.6,13,134.5612308
21.7,31.3,13,48,0,4.3,3.5,11.1,134.5612308
21.7,31.3,13,48,0,4.3,3.5,11.1,134.5612308
21,31.3,13,55,0,3.9,3.9,13,134.5612308
21,31.3,13,55,0,3.9,3.9,13,134.5612308
22.2,32,14.6,52,0,4.3,5.7,9.4,134.5612308
22.2,32,14.6,52,0,4.3,5.7,9.4,134.5612308
22.2,31,14,47,0,4.2,4.4,11.1,134.5612308
22.2,31,14,47,0,4.2,4.4,11.1,134.5612308
20,29.7,12,52,0,4.2,4.8,16.5,134.5612308
20,29.7,12,52,0,4.2,4.8,16.5,134.5612308
21.4,30,12.9,54,0,4.2,4.8,11.1,134.5612308
21.4,30,12.9,54,0,4.2,4.8,11.1,134.5612308
20.2,28,13,49,0,4.5,7,14.8,134.5612308
20.2,28,13,49,0,4.5,7,14.8,134.5612308
19.3,29,10.4,54,0,4,4.3,11.1,134.5612308
19.3,29,10.4,54,0,4,4.3,11.1,134.5612308
19.1,27,10,52,0,3.7,5,13,134.5612308
19.1,27,10,52,0,3.7,5,13,134.5612308
18.6,27,11,47,0,4,6.1,13,134.5612308
18.6,27,11,47,0,4,6.1,13,134.5612308
17.6,26.5,10,44,0,4,5.6,18.3,134.5612308
17.6,26.5,10,44,0,4,5.6,18.3,134.5612308
18.4,29,7.5,44,0,4.3,2.6,9.4,134.5612308
18.4,29,7.5,44,0,4.3,2.6,9.4,134.5612308
19.6,29,8,48,0,4,3,11.1,134.5612308
19.6,29,8,48,0,4,3,11.1,134.5612308
21.5,29.5,12.4,65,0,4.2,4.1,13,134.5612308
21.5,29.5,12.4,65,0,4.2,4.1,13,134.5612308
23.1,31,15.5,59,0,4,4.6,14.8,134.5612308
23.1,31,15.5,59,0,4,4.6,14.8,134.5612308
22.7,31,15,52,0,3.9,4.1,11.1,134.5612308
22.7,31,15,52,0,3.9,4.1,11.1,134.5612308
21.3,29,13,43,0,4.2,5.7,13,134.5612308
21.3,29,13,43,0,4.2,5.7,13,134.5612308
20.9,30,13,40,0,4.3,8.5,16.5,134.5612308
20.9,30,13,40,0,4.3,8.5,16.5,134.5612308
21.2,30,12,34,0,4.2,4.3,13,134.5612308
21.2,30,12,34,0,4.2,4.3,13,134.5612308
20.8,31,11,31,0,4.2,6.9,14.8,134.5612308
20.8,31,11,31,0,4.2,6.9,14.8,134.5612308
22.1,32,13.9,37,0,4.2,7.2,14.8,134.5612308
22.1,32,13.9,37,0,4.2,7.2,14.8,134.5612308
20.6,29,12,36,0,4,5.6,11.1,134.5612308
20.6,29,12,36,0,4,5.6,11.1,134.5612308
20.7,30,10.4,35,0,4.2,6.9,14.8,134.5612308
20.7,30,10.4,35,0,4.2,6.9,14.8,134.5612308
21.2,31,13,41,0,4.3,6.7,16.5,134.5612308
21.2,31,13,41,0,4.3,6.7,16.5,134.5612308
27.7,33.4,20.3,54,0,4,5.9,14.8,134.5612308
27.7,33.4,20.3,54,0,4,5.9,14.8,134.5612308
25.6,32,18,45,0,3.7,7.2,18.3,134.5612308
25.6,32,18,45,0,3.7,7.2,18.3,134.5612308
24.2,33,16,36,0,4.3,5.6,13,134.5612308
24.2,33,16,36,0,4.3,5.6,13,134.5612308
24.2,34,14.6,33,0,4,3.5,11.1,134.5612308
24.2,34,14.6,33,0,4,3.5,11.1,134.5612308
25.9,36,17,26,0,4.3,8.5,14.8,134.5612308
25.9,36,17,26,0,4.3,8.5,14.8,134.5612308
25.6,36,16,26,0,4.5,8.7,18.3,134.5612308
25.6,36,16,26,0,4.5,8.7,18.3,134.5612308
29,38,19.5,29,0,4.3,8.3,13,134.5612308
29,38,19.5,29,0,4.3,8.3,13,134.5612308
30,37,22,39,0,3.7,5,11.1,134.5612308
30,37,22,39,0,3.7,5,11.1,134.5612308
28.1,36,22,48,0,3.5,6.1,14.8,134.5612308
28.1,36,22,48,0,3.5,6.1,14.8,134.5612308
26.8,34,20,32,0,4.8,8.5,14.8,134.5612308
26.8,34,20,32,0,4.8,8.5,14.8,134.5612308
27.1,35,18,34,0,4.5,6.3,13,134.5612308
27.1,35,18,34,0,4.5,6.3,13,134.5612308
28,36,19,34,0,4.5,4.3,9.4,134.5612308
28,36,19,34,0,4.5,4.3,9.4,134.5612308
26.7,33,21,42,0,4.8,8.9,16.5,134.5612308
26.7,33,21,42,0,4.8,8.9,16.5,134.5612308
