T,TM,Tm,H,PP,VV,V,VM,NO2
29.8,34,25.8,69,0,4.5,12.4,20.6,20.1
29.8,34,25.8,69,0,4.5,12.4,20.6,20.14
30.3,34.6,26.5,70,0,4,5.6,7.6,20.16
30.3,34.6,26.5,70,0,4,5.6,7.6,19.67
30.8,35,26.5,70,0,3.9,7.8,14.8,14.84
30.8,35,26.5,70,0,3.9,7.8,14.8,14.82
30.4,35,27,72,0,4.2,9.3,14.8,14.82
30.4,35,27,72,0,4.2,9.3,14.8,14.86
27.4,30.1,25.6,86,1.02,3.7,5.4,13,14.85
27.4,30.1,25.6,86,1.02,3.7,5.4,13,14.79
28.3,33,25.5,83,0,3.4,5.2,11.1,14.84
28.3,33,25.5,83,0,3.4,5.2,11.1,14.89
29.6,35.4,25.5,80,4.06,4,9.6,18.3,14.83
29.6,35.4,25.5,80,4.06,4,9.6,18.3,14.84
30.2,35,25.4,70,9.91,4.3,11.3,20.6,14.86
30.2,35,25.4,70,9.91,4.3,11.3,20.6,14.82
29.4,33.4,25.7,73,0,4.5,14.6,20.6,14.82
29.4,33.4,25.7,73,0,4.5,14.6,20.6,14.85
30.7,36,26,65,0,4.5,14.8,22.2,14.87
30.7,36,26,65,0,4.5,14.8,22.2,14.81
30.6,35,26.2,70,0,4.7,10,16.5,14.89
30.6,35,26.2,70,0,4.7,10,16.5,14.88
31.1,35,26.6,68,0,4.5,9.1,16.5,14.85
31.1,35,26.6,68,0,4.5,9.1,16.5,50.9
31.3,35.9,26,67,0,4.7,9.4,18.3,12.31
31.3,35.9,26,67,0,4.7,9.4,18.3,15.43
30.4,35,27,71,0,4.5,9.1,16.5,11.47
30.4,35,27,71,0,4.5,9.1,16.5,9.96
30.7,36,26.4,65,0,4.3,11.1,22.2,11.35
30.7,36,26.4,65,0,4.3,11.1,22.2,10.94
30.3,35,26,63,0,4.3,8.7,14.8,9.94
30.3,35,26,63,0,4.3,8.7,14.8,9.7
30.3,35,24.4,61,0,4.3,7.2,13,12.88
30.3,35,24.4,61,0,4.3,7.2,13,10.99
30.7,37,25.6,61,0,4.7,8.9,14.8,11.152
30.7,37,25.6,61,0,4.7,8.9,14.8,12.25
30.3,36,27,66,0,4.7,5.9,18.3,9.68
30.3,36,27,66,0,4.7,5.9,18.3,9.62
31,35.5,26,64,0,4.7,4.4,11.1,10.48
31,35.5,26,64,0,4.7,4.4,11.1,19.75
31.6,38,26.4,63,0,4.5,11.3,18.3,13.62
31.6,38,26.4,63,0,4.5,11.3,18.3,14.17
32.2,38,26.5,64,0,4.5,10.9,16.5,21.5
32.2,38,26.5,64,0,4.5,10.9,16.5,30.6
31.9,37,26.4,62,0,4.5,11.1,18.3,32.41
31.9,37,26.4,62,0,4.5,11.1,18.3,34.7
27.4,32,24,86,57.91,3.9,11.3,20.6,37.85
27.4,32,24,86,57.91,3.9,11.3,20.6,28.38
25,26,23,95,2.03,2.3,8.3,13,21.51
25,26,23,95,2.03,2.3,8.3,13,30.23
27,31,24.5,91,8.89,2.9,11.7,16.5,32.1
27,31,24.5,91,8.89,2.9,11.7,16.5,32.5
28.8,34,24,66,0,4.8,9.3,14.8,36.97
28.8,34,24,66,0,4.8,9.3,14.8,34.86
28.7,34.1,23.5,68,0,5,9.3,16.5,29.22
28.7,34.1,23.5,68,0,5,9.3,16.5,23.45
29.4,34.3,24.4,67,0,4.8,5.7,13,33.63
29.4,34.3,24.4,67,0,4.8,5.7,13,32.98
30.7,38,23,52,0,4.3,4.6,11.1,25.73
30.7,38,23,52,0,4.3,4.6,11.1,32.87
31.1,38,23,54,0,4.3,5.4,11.1,31.2
31.1,38,23,54,0,4.3,5.4,11.1,34.71
31.8,39,25,63,0,3.9,7.2,16.5,39.42
31.8,39,25,63,0,3.9,7.2,16.5,35.22
32.3,40,24,48,0,4.7,5.4,14.8,36.63
32.3,40,24,48,0,4.7,5.4,14.8,30.65
31.7,40,24,47,0,4.3,3.7,14.8,23.83
31.7,40,24,47,0,4.3,3.7,14.8,28.93
32.3,40,23,46,0,4.3,5.4,13,34.16
32.3,40,23,46,0,4.3,5.4,13,39.1
31.9,39,24.5,53,0,4.2,3.9,9.4,55.67
31.9,39,24.5,53,0,4.2,3.9,9.4,40.31
30.9,40,24,52,0,4.5,3.5,11.1,25.75
30.9,40,24,52,0,4.5,3.5,11.1,21.15
30.5,40,24,50,0,4.3,3.9,11.1,18.33
30.5,40,24,50,0,4.3,3.9,11.1,12.1
31.3,40,23,49,0,4.2,1.3,5.4,24.306
31.3,40,23,49,0,4.2,1.3,5.4,44.2
31.1,39,22.3,51,0,4.5,3.5,13,36.87
31.1,39,22.3,51,0,4.5,3.5,13,42.21
30.3,39,23.4,55,0,4.2,1.9,7.6,35.31
30.3,39,23.4,55,0,4.2,1.9,7.6,50.11
27.4,38,21,53,0,4.2,2.2,9.4,29.04
27.4,38,21,53,0,4.2,2.2,9.4,31.91
27.7,38,20.9,55,0,4,2.2,11.1,36.7445
27.7,38,20.9,55,0,4,2.2,11.1,36.7445
28.6,37,20,44,0,4.5,6.3,22.2,36.7445
28.6,37,20,44,0,4.5,6.3,22.2,36.7445
24.9,32,19.8,50,0,4.8,10.9,16.5,36.7445
24.9,32,19.8,50,0,4.8,10.9,16.5,36.7445
26.7,34,19.9,55,0,4.3,6.5,18.3,36.7445
26.7,34,19.9,55,0,4.3,6.5,18.3,36.7445
27.9,36,21,52,0,4.5,5,13,36.7445
27.9,36,21,52,0,4.5,5,13,36.7445
28.2,36,21,50,0,4.5,3.5,11.1,36.7445
28.2,36,21,50,0,4.5,3.5,11.1,36.7445
27.1,36,19.3,44,0,4.3,4.4,14.8,36.7445
27.1,36,19.3,44,0,4.3,4.4,14.8,36.7445
25.4,35,17,44,0,3.9,3.1,9.4,36.7445
25.4,35,17,44,0,3.9,3.1,9.4,36.7445
26.7,36,11.5,49,0,4,2,7.6,36.7445
26.7,36,11.5,49,0,4,2,7.6,36.7445
27.5,38,19.8,49,0,4.3,2.4,9.4,36.7445
27.5,38,19.8,49,0,4.3,2.4,9.4,36.7445
27.5,37,17,42,0,4.3,3.7,9.4,36.7445
27.5,37,17,42,0,4.3,3.7,9.4,36.7445
26.7,36,16.8,50,0,4.3,4.1,9.4,36.7445
26.7,36,16.8,50,0,4.3,4.1,9.4,36.7445
23.8,33.3,18,42,0,4.3,7.8,14.8,36.7445
23.8,33.3,18,42,0,4.3,7.8,14.8,36.7445
24.8,34,17.8,39,0,4.5,7,13,36.7445
24.8,34,17.8,39,0,4.5,7,13,36.7445
26.7,34,18.9,38,0,4.5,7.4,14.8,36.7445
26.7,34,18.9,38,0,4.5,7.4,14.8,36.7445
27.6,34,21,47,0,3.5,5.6,14.8,36.7445
27.6,34,21,47,0,3.5,5.6,14.8,36.7445
25.8,34,17,40,0,4,7,14.8,36.7445
25.8,34,17,40,0,4,7,14.8,36.7445
20.5,29,13,35,0,4.5,5,14.8,36.7445
20.5,29,13,35,0,4.5,5,14.8,36.7445
24,34,16,48,0,4.2,4.6,13,36.7445
24,34,16,48,0,4.2,4.6,13,36.7445
21.8,32,15,42,0,4.2,6.3,14.8,36.7445
21.8,32,15,42,0,4.2,6.3,14.8,36.7445
21.5,31,13,41,0,4.3,6.3,18.3,36.7445
21.5,31,13,41,0,4.3,6.3,18.3,36.7445
23.4,35,14,46,0,4.3,4.1,11.1,36.7445
23.4,35,14,46,0,4.3,4.1,11.1,36.7445
24,34,16,41,0,4.3,4.4,11.1,36.7445
24,34,16,41,0,4.3,4.4,11.1,36.7445
25.3,34,15,45,0,4.3,3,11.1,36.7445
25.3,34,15,45,0,4.3,3,11.1,36.7445
17.4,27,10,41,0,4.7,7.4,14.8,36.7445
17.4,27,10,41,0,4.7,7.4,14.8,36.7445
16.9,26.4,10,40,0,4.2,10.7,22.2,36.7445
16.9,26.4,10,40,0,4.2,10.7,22.2,36.7445
17.4,26.5,11,36,0,4.5,9.4,22.2,36.7445
17.4,26.5,11,36,0,4.5,9.4,22.2,36.7445
16.9,28,11,48,0,4.3,5.7,12.1,36.7445
16.9,28,11,48,0,4.3,5.7,12.1,36.7445
18.3,28,8,39,0,4.2,5,9.4,36.7445
18.3,28,8,39,0,4.2,5,9.4,36.7445
18.2,27,10.7,44,0,4.3,8.1,14.8,36.7445
18.2,27,10.7,44,0,4.3,8.1,14.8,36.7445
17.9,25,10.5,39,0,4.2,10.9,20.6,36.7445
17.9,25,10.5,39,0,4.2,10.9,20.6,36.7445
18.4,28.2,11,37,0,4.5,7.8,16.5,36.7445
18.4,28.2,11,37,0,4.5,7.8,16.5,36.7445
20.8,30,11.9,37,0,4.5,5.2,13,36.7445
20.8,30,11.9,37,0,4.5,5.2,13,36.7445
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,36.7445
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,36.7445
22.4,32,14,45,0,4.2,4.6,13,36.7445
22.4,32,14,45,0,4.2,4.6,13,36.7445
21.7,31.3,13,48,0,4.3,3.5,11.1,36.7445
21.7,31.3,13,48,0,4.3,3.5,11.1,36.7445
21,31.3,13,55,0,3.9,3.9,13,36.7445
21,31.3,13,55,0,3.9,3.9,13,36.7445
22.2,32,14.6,52,0,4.3,5.7,9.4,36.7445
22.2,32,14.6,52,0,4.3,5.7,9.4,36.7445
22.2,31,14,47,0,4.2,4.4,11.1,36.7445
22.2,31,14,47,0,4.2,4.4,11.1,36.7445
20,29.7,12,52,0,4.2,4.8,16.5,36.7445
20,29.7,12,52,0,4.2,4.8,16.5,36.7445
21.4,30,12.9,54,0,4.2,4.8,11.1,36.7445
21.4,30,12.9,54,0,4.2,4.8,11.1,36.7445
20.2,28,13,49,0,4.5,7,14.8,36.7445
20.2,28,13,49,0,4.5,7,14.8,36.7445
19.3,29,10.4,54,0,4,4.3,11.1,36.7445
19.3,29,10.4,54,0,4,4.3,11.1,36.7445
19.1,27,10,52,0,3.7,5,13,36.7445
19.1,27,10,52,0,3.7,5,13,36.7445
18.6,27,11,47,0,4,6.1,13,36.7445
18.6,27,11,47,0,4,6.1,13,36.7445
17.6,26.5,10,44,0,4,5.6,18.3,36.7445
17.6,26.5,10,44,0,4,5.6,18.3,36.7445
18.4,29,7.5,44,0,4.3,2.6,9.4,36.7445
18.4,29,7.5,44,0,4.3,2.6,9.4,36.7445
19.6,29,8,48,0,4,3,11.1,36.7445
19.6,29,8,48,0,4,3,11.1,36.7445
21.5,29.5,12.4,65,0,4.2,4.1,13,36.7445
21.5,29.5,12.4,65,0,4.2,4.1,13,36.7445
23.1,31,15.5,59,0,4,4.6,14.8,36.7445
23.1,31,15.5,59,0,4,4.6,14.8,36.7445
22.7,31,15,52,0,3.9,4.1,11.1,36.7445
22.7,31,15,52,0,3.9,4.1,11.1,36.7445
21.3,29,13,43,0,4.2,5.7,13,36.7445
21.3,29,13,43,0,4.2,5.7,13,36.7445
20.9,30,13,40,0,4.3,8.5,16.5,36.7445
20.9,30,13,40,0,4.3,8.5,16.5,36.7445
21.2,30,12,34,0,4.2,4.3,13,36.7445
21.2,30,12,34,0,4.2,4.3,13,36.7445
20.8,31,11,31,0,4.2,6.9,14.8,36.7445
20.8,31,11,31,0,4.2,6.9,14.8,36.7445
22.1,32,13.9,37,0,4.2,7.2,14.8,36.7445
22.1,32,13.9,37,0,4.2,7.2,14.8,36.7445
20.6,29,12,36,0,4,5.6,11.1,36.7445
20.6,29,12,36,0,4,5.6,11.1,36.7445
20.7,30,10.4,35,0,4.2,6.9,14.8,36.7445
20.7,30,10.4,35,0,4.2,6.9,14.8,36.7445
21.2,31,13,41,0,4.3,6.7,16.5,36.7445
21.2,31,13,41,0,4.3,6.7,16.5,36.7445
27.7,33.4,20.3,54,0,4,5.9,14.8,36.7445
27.7,33.4,20.3,54,0,4,5.9,14.8,36.7445
25.6,32,18,45,0,3.7,7.2,18.3,36.7445
25.6,32,18,45,0,3.7,7.2,18.3,36.7445
24.2,33,16,36,0,4.3,5.6,13,36.7445
24.2,33,16,36,0,4.3,5.6,13,36.7445
24.2,34,14.6,33,0,4,3.5,11.1,36.7445
24.2,34,14.6,33,0,4,3.5,11.1,36.7445
25.9,36,17,26,0,4.3,8.5,14.8,36.7445
25.9,36,17,26,0,4.3,8.5,14.8,36.7445
25.6,36,16,26,0,4.5,8.7,18.3,36.7445
25.6,36,16,26,0,4.5,8.7,18.3,36.7445
29,38,19.5,29,0,4.3,8.3,13,36.7445
29,38,19.5,29,0,4.3,8.3,13,36.7445
30,37,22,39,0,3.7,5,11.1,36.7445
30,37,22,39,0,3.7,5,11.1,36.7445
28.1,36,22,48,0,3.5,6.1,14.8,36.7445
28.1,36,22,48,0,3.5,6.1,14.8,36.7445
26.8,34,20,32,0,4.8,8.5,14.8,36.7445
26.8,34,20,32,0,4.8,8.5,14.8,36.7445
27.1,35,18,34,0,4.5,6.3,13,36.7445
27.1,35,18,34,0,4.5,6.3,13,36.7445
28,36,19,34,0,4.5,4.3,9.4,36.7445
28,36,19,34,0,4.5,4.3,9.4,36.7445
26.7,33,21,42,0,4.8,8.9,16.5,36.7445
26.7,33,21,42,0,4.8,8.9,16.5,36.7445
26.6,34,19,34,0,4.5,7,16.5,36.7445
26.6,34,19,34,0,4.5,7,16.5,36.7445
28.1,35,20,31,0,4.3,6.3,14.8,36.7445
28.1,35,20,31,0,4.3,6.3,14.8,36.7445
31.5,39,24.4,36,0,4.2,11.9,22.2,36.7445
31.5,39,24.4,36,0,4.2,11.9,22.2,36.7445
30.9,39,23,28,0,4.7,10.4,22.2,36.7445
30.9,39,23,28,0,4.7,10.4,22.2,36.7445
29.8,39,21.6,28,0,4.5,8.1,18.3,36.7445
29.8,39,21.6,28,0,4.5,8.1,18.3,36.7445
32.5,41,23,27,0,4.3,7.2,14.8,36.7445
32.5,41,23,27,0,4.3,7.2,14.8,36.7445
31.3,39,24,32,0,4.3,6.3,13,36.7445
31.3,39,24,32,0,4.3,6.3,13,36.7445
30.9,39,22,27,0,4.5,6.7,13,36.7445
30.9,39,22,27,0,4.5,6.7,13,36.7445
29.9,39,23,33,0,4.5,6.5,13,36.7445
29.9,39,23,33,0,4.5,6.5,13,36.7445
31.2,40,20.7,40,0,4.7,7.8,14.8,36.7445
31.2,40,20.7,40,0,4.7,7.8,14.8,36.7445
32.6,41,25.6,42,0,4.3,6.1,9.4,36.7445
32.6,41,25.6,42,0,4.3,6.1,9.4,36.7445
32.6,40,26,33,0,4.7,7.6,16.5,36.7445
32.6,40,26,33,0,4.7,7.6,16.5,36.7445
30.2,37,25,34,0,4.7,8.7,18.3,36.7445
30.2,37,25,34,0,4.7,8.7,18.3,36.7445
