T,TM,Tm,H,PP,VV,V,VM,PM2.5
37.3,44,27.2,24,0,4.7,10.2,18.3,83.69
32.9,43,27.4,49,0,3.7,7.4,16.5,38.88
32.9,43,27.4,49,0,3.7,7.4,16.5,46.89
34.4,40,25.2,48,7.11,3.9,6.1,18.3,70.96
34.4,40,25.2,48,7.11,3.9,6.1,18.3,53.66
36.5,45,27,33,0,4.3,5.9,14.8,45.49
36.5,45,27,33,0,4.3,5.9,14.8,60.86
36.3,46,28.1,42,0,4.7,15,24.1,51.93
36.3,46,28.1,42,0,4.7,15,24.1,77.87
34.9,44,28.4,51,0,4.7,13.3,22.2,57.59
34.9,44,28.4,51,0,4.7,13.3,22.2,77.22
36.1,46,29,46,0,4.5,11.9,18.3,45.29
36.1,46,29,46,0,4.5,11.9,18.3,103.78
35.9,45,29,47,0,4.7,15,22.2,25.14
35.9,45,29,47,0,4.7,15,22.2,87.03
35.2,45,28.4,50,0,4.8,15.6,24.1,89.6
35.2,45,28.4,50,0,4.8,15.6,24.1,80.69
35.6,45,28.7,50,0,4.7,12.4,22.2,44.75
35.6,45,28.7,50,0,4.7,12.4,22.2,38.11
36.3,46,28.7,38,0,4.5,12,18.3,45.5
36.3,46,28.7,38,0,4.5,12,18.3,36.98
34.7,43,29,49,0,4.5,15,27.8,43.58
34.7,43,29,49,0,4.5,15,27.8,45.49
32.8,40.4,27,56,1.015,4.2,13,29.4,38.06
32.8,40.4,27,56,1.015,4.2,13,29.4,45.41
33.6,41,26.5,48,2.03,3.5,12,31.7,37.71
33.6,41,26.5,48,2.03,3.5,12,31.7,32.37
37.6,46,30.5,33,0,4.2,11.7,50,34.74
37.6,46,30.5,33,0,4.2,11.7,50,32.56
33.4,38,30,57,0,4,10.6,22.2,29.28
33.4,38,30,57,0,4,10.6,22.2,20.46
32.3,40,29,61,0,4.5,12.2,24.1,26.07
32.3,40,29,61,0,4.5,12.2,24.1,21.43
32.4,39.3,28,64,0,4.3,13.5,29.4,11.91
32.4,39.3,28,64,0,4.3,13.5,29.4,57.75
32.1,40,27.2,64,0,4.2,14.3,27.8,66.39
32.1,40,27.2,64,0,4.2,14.3,27.8,62.61
32.3,40,27.6,62,0.25,4.2,12,24.1,47.5
32.3,40,27.6,62,0.25,4.2,12,24.1,111.8
32.7,37,28,63,0,4,8.1,14.8,30
32.7,37,28,63,0,4,8.1,14.8,4.66
32.8,39,27.2,60,0,4.3,10,18.3,48.72
32.8,39,27.2,60,0,4.3,10,18.3,49.7
33.4,39,27.7,61,0,4.7,11.3,18.3,48.1
33.4,39,27.7,61,0,4.7,11.3,18.3,47.43
30.1,35,25.3,78,130.05,3.7,14.8,22.2,51.74
30.1,35,25.3,78,130.05,3.7,14.8,22.2,42.68
31.2,36.5,27.1,73,0,3.5,17.2,25.9,38.45
31.2,36.5,27.1,73,0,3.5,17.2,25.9,46.69
31.4,36.8,26.9,70,0,3.7,15.6,29.4,55.27
31.4,36.8,26.9,70,0,3.7,15.6,29.4,149.03
31.8,37.4,27.5,63,0,4.3,13.9,27.8,86.57
31.8,37.4,27.5,63,0,4.3,13.9,27.8,111.77
32.1,38,27.7,61,0,4.7,16.9,24.1,151.4
32.1,38,27.7,61,0,4.7,16.9,24.1,51.35
31.8,38,27.5,63,0,4.7,15.4,25.9,65.37
31.8,38,27.5,63,0,4.7,15.4,25.9,56.28
30.9,36.4,28,66,0,4.3,14.1,24.1,48.17
30.9,36.4,28,66,0,4.3,14.1,24.1,33.56
31,35,28,68,2.03,4.3,11.9,18.3,31.3
31,35,28,68,2.03,4.3,11.9,18.3,48.12
32.2,37,27.7,59,0,4.7,16.5,22.2,57.11
32.2,37,27.7,59,0,4.7,16.5,22.2,34.72
33.6,38,28.8,58,0,4.5,11.5,16.5,29.22
33.6,38,28.8,58,0,4.5,11.5,16.5,29.79
33.3,38,29,57,0,4.7,12.8,20.6,59.95
33.3,38,29,57,0,4.7,12.8,20.6,19.2
32.4,37.9,28,60,0,4.5,15.9,25.9,19.52
32.4,37.9,28,60,0,4.5,15.9,25.9,35.16
31.5,34,28.8,63,0,4.5,13.3,22.2,33.03
31.5,34,28.8,63,0,4.5,13.3,22.2,40.95
30.4,33,28,69,0,4.2,10,18.3,40.29
30.4,33,28,69,0,4.2,10,18.3,41.16
29.6,35.4,27,79,6.1,3.5,5,13,36.12
29.6,35.4,27,79,6.1,3.5,5,13,28.51
28.4,31.6,26,81,7.87,3.4,12.8,22.2,31.59
28.4,31.6,26,81,7.87,3.4,12.8,22.2,42.56
25.9,29,24,92,23.11,2.3,13.9,25.9,48.12
25.9,29,24,92,23.11,2.3,13.9,25.9,37.09
24.6,27,23,95,71.88,2.4,15.7,27.8,33.4
24.6,27,23,95,71.88,2.4,15.7,27.8,38.64
28.6,33,25.8,75,0.25,4.7,14.3,22.2,40.49
28.6,33,25.8,75,0.25,4.7,14.3,22.2,41.37
29.3,32.3,26.2,73,0,4.7,14.3,24.1,44.56
29.3,32.3,26.2,73,0,4.7,14.3,24.1,65.68
28.8,32.2,26.3,75,0,4.3,12.2,24.1,33.34
28.8,32.2,26.3,75,0,4.3,12.2,24.1,39.17
29.8,34,25.8,69,0,4.5,12.4,20.6,34
29.8,34,25.8,69,0,4.5,12.4,20.6,36.38
30.3,34.6,26.5,70,0,4,5.6,7.6,38.35
30.3,34.6,26.5,70,0,4,5.6,7.6,38.5
30.8,35,26.5,70,0,3.9,7.8,14.8,39.61
30.8,35,26.5,70,0,3.9,7.8,14.8,61.79
30.4,35,27,72,0,4.2,9.3,14.8,43.22
30.4,35,27,72,0,4.2,9.3,14.8,33.41
27.4,30.1,25.6,86,1.02,3.7,5.4,13,36.9
27.4,30.1,25.6,86,1.02,3.7,5.4,13,36.36
28.3,33,25.5,83,0,3.4,5.2,11.1,32.64
28.3,33,25.5,83,0,3.4,5.2,11.1,38.23
29.6,35.4,25.5,80,4.06,4,9.6,18.3,39.86
29.6,35.4,25.5,80,4.06,4,9.6,18.3,72.74
30.2,35,25.4,70,9.91,4.3,11.3,20.6,43.2
30.2,35,25.4,70,9.91,4.3,11.3,20.6,63.2
29.4,33.4,25.7,73,0,4.5,14.6,20.6,64.73
29.4,33.4,25.7,73,0,4.5,14.6,20.6,65.28
30.7,36,26,65,0,4.5,14.8,22.2,67.86
30.7,36,26,65,0,4.5,14.8,22.2,52.4
30.6,35,26.2,70,0,4.7,10,16.5,33.33
30.6,35,26.2,70,0,4.7,10,16.5,29.52
31.1,35,26.6,68,0,4.5,9.1,16.5,15.53
31.1,35,26.6,68,0,4.5,9.1,16.5,57.51
31.3,35.9,26,67,0,4.7,9.4,18.3,50.24
31.3,35.9,26,67,0,4.7,9.4,18.3,61.77
30.4,35,27,71,0,4.5,9.1,16.5,46.93
30.4,35,27,71,0,4.5,9.1,16.5,43.01
30.7,36,26.4,65,0,4.3,11.1,22.2,42.06
30.7,36,26.4,65,0,4.3,11.1,22.2,44.94
30.3,35,26,63,0,4.3,8.7,14.8,29.58
30.3,35,26,63,0,4.3,8.7,14.8,32.15
30.3,35,24.4,61,0,4.3,7.2,13,36.33
30.3,35,24.4,61,0,4.3,7.2,13,24.46
30.7,37,25.6,61,0,4.7,8.9,14.8,29.92
30.7,37,25.6,61,0,4.7,8.9,14.8,27.08
30.3,36,27,66,0,4.7,5.9,18.3,59.29
30.3,36,27,66,0,4.7,5.9,18.3,65.32
31,35.5,26,64,0,4.7,4.4,11.1,47.39
31,35.5,26,64,0,4.7,4.4,11.1,43.88
31.6,38,26.4,63,0,4.5,11.3,18.3,28.35
31.6,38,26.4,63,0,4.5,11.3,18.3,3.59
32.2,38,26.5,64,0,4.5,10.9,16.5,3.04
32.2,38,26.5,64,0,4.5,10.9,16.5,19.14
31.9,37,26.4,62,0,4.5,11.1,18.3,69.12
31.9,37,26.4,62,0,4.5,11.1,18.3,76.41
27.4,32,24,86,57.91,3.9,11.3,20.6,102.49
27.4,32,24,86,57.91,3.9,11.3,20.6,127.94
25,26,23,95,2.03,2.3,8.3,13,87.18
25,26,23,95,2.03,2.3,8.3,13,99.73
27,31,24.5,91,8.89,2.9,11.7,16.5,84.15
27,31,24.5,91,8.89,2.9,11.7,16.5,92.12
28.8,34,24,66,0,4.8,9.3,14.8,94.02
28.8,34,24,66,0,4.8,9.3,14.8,150.27
28.7,34.1,23.5,68,0,5,9.3,16.5,118.91
28.7,34.1,23.5,68,0,5,9.3,16.5,91.41
29.4,34.3,24.4,67,0,4.8,5.7,13,95.9
29.4,34.3,24.4,67,0,4.8,5.7,13,137.87
30.7,38,23,52,0,4.3,4.6,11.1,90.71
30.7,38,23,52,0,4.3,4.6,11.1,108.68
31.1,38,23,54,0,4.3,5.4,11.1,98.79
31.1,38,23,54,0,4.3,5.4,11.1,145.75
31.8,39,25,63,0,3.9,7.2,16.5,179.43
31.8,39,25,63,0,3.9,7.2,16.5,170.52
32.3,40,24,48,0,4.7,5.4,14.8,203.4
32.3,40,24,48,0,4.7,5.4,14.8,92.71
31.7,40,24,47,0,4.3,3.7,14.8,64.66
31.7,40,24,47,0,4.3,3.7,14.8,78.14
32.3,40,23,46,0,4.3,5.4,13,100.17
32.3,40,23,46,0,4.3,5.4,13,147.35
31.9,39,24.5,53,0,4.2,3.9,9.4,206.89
31.9,39,24.5,53,0,4.2,3.9,9.4,114.84
30.9,40,24,52,0,4.5,3.5,11.1,89.64
30.9,40,24,52,0,4.5,3.5,11.1,51.72
30.5,40,24,50,0,4.3,3.9,11.1,54.59
30.5,40,24,50,0,4.3,3.9,11.1,46.5
31.3,40,23,49,0,4.2,1.3,5.4,72.998
31.3,40,23,49,0,4.2,1.3,5.4,122.54
31.1,39,22.3,51,0,4.5,3.5,13,147.18
31.1,39,22.3,51,0,4.5,3.5,13,214.67
30.3,39,23.4,55,0,4.2,1.9,7.6,207.13
30.3,39,23.4,55,0,4.2,1.9,7.6,191.01
27.4,38,21,53,0,4.2,2.2,9.4,192.35
27.4,38,21,53,0,4.2,2.2,9.4,127.64
27.7,38,20.9,55,0,4,2.2,11.1,159.43975
27.7,38,20.9,55,0,4,2.2,11.1,159.43975
28.6,37,20,44,0,4.5,6.3,22.2,159.43975
28.6,37,20,44,0,4.5,6.3,22.2,159.43975
24.9,32,19.8,50,0,4.8,10.9,16.5,159.43975
24.9,32,19.8,50,0,4.8,10.9,16.5,159.43975
26.7,34,19.9,55,0,4.3,6.5,18.3,159.43975
26.7,34,19.9,55,0,4.3,6.5,18.3,159.43975
27.9,36,21,52,0,4.5,5,13,159.43975
27.9,36,21,52,0,4.5,5,13,159.43975
28.2,36,21,50,0,4.5,3.5,11.1,159.43975
28.2,36,21,50,0,4.5,3.5,11.1,159.43975
27.1,36,19.3,44,0,4.3,4.4,14.8,159.43975
27.1,36,19.3,44,0,4.3,4.4,14.8,159.43975
25.4,35,17,44,0,3.9,3.1,9.4,159.43975
25.4,35,17,44,0,3.9,3.1,9.4,159.43975
26.7,36,11.5,49,0,4,2,7.6,159.43975
26.7,36,11.5,49,0,4,2,7.6,159.43975
27.5,38,19.8,49,0,4.3,2.4,9.4,159.43975
27.5,38,19.8,49,0,4.3,2.4,9.4,159.43975
27.5,37,17,42,0,4.3,3.7,9.4,159.43975
27.5,37,17,42,0,4.3,3.7,9.4,159.43975
26.7,36,16.8,50,0,4.3,4.1,9.4,159.43975
26.7,36,16.8,50,0,4.3,4.1,9.4,159.43975
23.8,33.3,18,42,0,4.3,7.8,14.8,159.43975
23.8,33.3,18,42,0,4.3,7.8,14.8,159.43975
24.8,34,17.8,39,0,4.5,7,13,159.43975
24.8,34,17.8,39,0,4.5,7,13,159.43975
26.7,34,18.9,38,0,4.5,7.4,14.8,159.43975
26.7,34,18.9,38,0,4.5,7.4,14.8,159.43975
27.6,34,21,47,0,3.5,5.6,14.8,159.43975
27.6,34,21,47,0,3.5,5.6,14.8,159.43975
25.8,34,17,40,0,4,7,14.8,159.43975
25.8,34,17,40,0,4,7,14.8,159.43975
20.5,29,13,35,0,4.5,5,14.8,159.43975
20.5,29,13,35,0,4.5,5,14.8,159.43975
24,34,16,48,0,4.2,4.6,13,159.43975
24,34,16,48,0,4.2,4.6,13,159.43975
21.8,32,15,42,0,4.2,6.3,14.8,159.43975
21.8,32,15,42,0,4.2,6.3,14.8,159.43975
21.5,31,13,41,0,4.3,6.3,18.3,159.43975
21.5,31,13,41,0,4.3,6.3,18.3,159.43975
23.4,35,14,46,0,4.3,4.1,11.1,159.43975
23.4,35,14,46,0,4.3,4.1,11.1,159.43975
24,34,16,41,0,4.3,4.4,11.1,159.43975
24,34,16,41,0,4.3,4.4,11.1,159.43975
25.3,34,15,45,0,4.3,3,11.1,159.43975
25.3,34,15,45,0,4.3,3,11.1,159.43975
17.4,27,10,41,0,4.7,7.4,14.8,159.43975
17.4,27,10,41,0,4.7,7.4,14.8,159.43975
16.9,26.4,10,40,0,4.2,10.7,22.2,159.43975
16.9,26.4,10,40,0,4.2,10.7,22.2,159.43975
17.4,26.5,11,36,0,4.5,9.4,22.2,159.43975
17.4,26.5,11,36,0,4.5,9.4,22.2,159.43975
16.9,28,11,48,0,4.3,5.7,12.1,159.43975
16.9,28,11,48,0,4.3,5.7,12.1,159.43975
18.3,28,8,39,0,4.2,5,9.4,159.43975
18.3,28,8,39,0,4.2,5,9.4,159.43975
18.2,27,10.7,44,0,4.3,8.1,14.8,159.43975
18.2,27,10.7,44,0,4.3,8.1,14.8,159.43975
17.9,25,10.5,39,0,4.2,10.9,20.6,159.43975
17.9,25,10.5,39,0,4.2,10.9,20.6,159.43975
18.4,28.2,11,37,0,4.5,7.8,16.5,159.43975
18.4,28.2,11,37,0,4.5,7.8,16.5,159.43975
20.8,30,11.9,37,0,4.5,5.2,13,159.43975
20.8,30,11.9,37,0,4.5,5.2,13,159.43975
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,159.43975
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,159.43975
22.4,32,14,45,0,4.2,4.6,13,159.43975
22.4,32,14,45,0,4.2,4.6,13,159.43975
21.7,31.3,13,48,0,4.3,3.5,11.1,159.43975
21.7,31.3,13,48,0,4.3,3.5,11.1,159.43975
21,31.3,13,55,0,3.9,3.9,13,159.43975
21,31.3,13,55,0,3.9,3.9,13,159.43975
22.2,32,14.6,52,0,4.3,5.7,9.4,159.43975
22.2,32,14.6,52,0,4.3,5.7,9.4,159.43975
22.2,31,14,47,0,4.2,4.4,11.1,159.43975
22.2,31,14,47,0,4.2,4.4,11.1,159.43975
20,29.7,12,52,0,4.2,4.8,16.5,159.43975
20,29.7,12,52,0,4.2,4.8,16.5,159.43975
21.4,30,12.9,54,0,4.2,4.8,11.1,159.43975
21.4,30,12.9,54,0,4.2,4.8,11.1,159.43975
20.2,28,13,49,0,4.5,7,14.8,159.43975
20.2,28,13,49,0,4.5,7,14.8,159.43975
19.3,29,10.4,54,0,4,4.3,11.1,159.43975
19.3,29,10.4,54,0,4,4.3,11.1,159.43975
19.1,27,10,52,0,3.7,5,13,159.43975
19.1,27,10,52,0,3.7,5,13,159.43975
18.6,27,11,47,0,4,6.1,13,159.43975
18.6,27,11,47,0,4,6.1,13,159.43975
17.6,26.5,10,44,0,4,5.6,18.3,159.43975
17.6,26.5,10,44,0,4,5.6,18.3,159.43975
18.4,29,7.5,44,0,4.3,2.6,9.4,159.43975
18.4,29,7.5,44,0,4.3,2.6,9.4,159.43975
19.6,29,8,48,0,4,3,11.1,159.43975
19.6,29,8,48,0,4,3,11.1,159.43975
21.5,29.5,12.4,65,0,4.2,4.1,13,159.43975
21.5,29.5,12.4,65,0,4.2,4.1,13,159.43975
23.1,31,15.5,59,0,4,4.6,14.8,159.43975
23.1,31,15.5,59,0,4,4.6,14.8,159.43975
22.7,31,15,52,0,3.9,4.1,11.1,159.43975
22.7,31,15,52,0,3.9,4.1,11.1,159.43975
21.3,29,13,43,0,4.2,5.7,13,159.43975
21.3,29,13,43,0,4.2,5.7,13,159.43975
20.9,30,13,40,0,4.3,8.5,16.5,159.43975
20.9,30,13,40,0,4.3,8.5,16.5,159.43975
21.2,30,12,34,0,4.2,4.3,13,159.43975
21.2,30,12,34,0,4.2,4.3,13,159.43975
20.8,31,11,31,0,4.2,6.9,14.8,159.43975
20.8,31,11,31,0,4.2,6.9,14.8,159.43975
22.1,32,13.9,37,0,4.2,7.2,14.8,159.43975
22.1,32,13.9,37,0,4.2,7.2,14.8,159.43975
20.6,29,12,36,0,4,5.6,11.1,159.43975
20.6,29,12,36,0,4,5.6,11.1,159.43975
20.7,30,10.4,35,0,4.2,6.9,14.8,159.43975
20.7,30,10.4,35,0,4.2,6.9,14.8,159.43975
21.2,31,13,41,0,4.3,6.7,16.5,159.43975
21.2,31,13,41,0,4.3,6.7,16.5,159.43975
27.7,33.4,20.3,54,0,4,5.9,14.8,159.43975
27.7,33.4,20.3,54,0,4,5.9,14.8,159.43975
25.6,32,18,45,0,3.7,7.2,18.3,159.43975
25.6,32,18,45,0,3.7,7.2,18.3,159.43975
24.2,33,16,36,0,4.3,5.6,13,159.43975
24.2,33,16,36,0,4.3,5.6,13,159.43975
24.2,34,14.6,33,0,4,3.5,11.1,159.43975
24.2,34,14.6,33,0,4,3.5,11.1,159.43975
25.9,36,17,26,0,4.3,8.5,14.8,159.43975
25.9,36,17,26,0,4.3,8.5,14.8,159.43975
25.6,36,16,26,0,4.5,8.7,18.3,159.43975
25.6,36,16,26,0,4.5,8.7,18.3,159.43975
29,38,19.5,29,0,4.3,8.3,13,159.43975
29,38,19.5,29,0,4.3,8.3,13,159.43975
30,37,22,39,0,3.7,5,11.1,159.43975
30,37,22,39,0,3.7,5,11.1,159.43975
28.1,36,22,48,0,3.5,6.1,14.8,159.43975
28.1,36,22,48,0,3.5,6.1,14.8,159.43975
26.8,34,20,32,0,4.8,8.5,14.8,159.43975
26.8,34,20,32,0,4.8,8.5,14.8,159.43975
27.1,35,18,34,0,4.5,6.3,13,159.43975
27.1,35,18,34,0,4.5,6.3,13,159.43975
28,36,19,34,0,4.5,4.3,9.4,159.43975
28,36,19,34,0,4.5,4.3,9.4,159.43975
26.7,33,21,42,0,4.8,8.9,16.5,159.43975
26.7,33,21,42,0,4.8,8.9,16.5,159.43975
26.6,34,19,34,0,4.5,7,16.5,159.43975
26.6,34,19,34,0,4.5,7,16.5,159.43975
28.1,35,20,31,0,4.3,6.3,14.8,159.43975
28.1,35,20,31,0,4.3,6.3,14.8,159.43975
31.5,39,24.4,36,0,4.2,11.9,22.2,159.43975
31.5,39,24.4,36,0,4.2,11.9,22.2,159.43975
30.9,39,23,28,0,4.7,10.4,22.2,159.43975
30.9,39,23,28,0,4.7,10.4,22.2,159.43975
29.8,39,21.6,28,0,4.5,8.1,18.3,159.43975
29.8,39,21.6,28,0,4.5,8.1,18.3,159.43975
32.5,41,23,27,0,4.3,7.2,14.8,159.43975
32.5,41,23,27,0,4.3,7.2,14.8,159.43975
31.3,39,24,32,0,4.3,6.3,13,159.43975
31.3,39,24,32,0,4.3,6.3,13,159.43975
30.9,39,22,27,0,4.5,6.7,13,159.43975
30.9,39,22,27,0,4.5,6.7,13,159.43975
29.9,39,23,33,0,4.5,6.5,13,159.43975
29.9,39,23,33,0,4.5,6.5,13,159.43975
31.2,40,20.7,40,0,4.7,7.8,14.8,159.43975
31.2,40,20.7,40,0,4.7,7.8,14.8,159.43975
32.6,41,25.6,42,0,4.3,6.1,9.4,159.43975
32.6,41,25.6,42,0,4.3,6.1,9.4,159.43975
32.6,40,26,33,0,4.7,7.6,16.5,159.43975
32.6,40,26,33,0,4.7,7.6,16.5,159.43975
30.2,37,25,34,0,4.7,8.7,18.3,159.43975
